Species,PercOfChecklists,Count
Monk Parakeet,0.33,41
Olive-sided Flycatcher,0.33,2
Eastern Wood-Pewee,4.57,55
Yellow-bellied Flycatcher,0.82,8
Acadian Flycatcher,0.33,4
Alder Flycatcher,0.65,5
Willow Flycatcher,2.94,27
Alder/Willow Flycatcher (Traill's Flycatcher),0.16,1
Least Flycatcher,4.4,50
Empidonax sp.,0.49,4
Eastern Phoebe,4.24,59
Say's Phoebe,0.16,1
Great Crested Flycatcher,2.77,19
Western Kingbird,0.16,1
Eastern Kingbird,5.22,64
Scissor-tailed Flycatcher,0.16,1
new world flycatcher sp.,0.16,3
White-eyed Vireo,0.33,2
Bell's Vireo,0.16,1
Yellow-throated Vireo,0.16,1
Blue-headed Vireo,0.33,2
Philadelphia Vireo,0.82,5
Warbling Vireo,9.46,134
Warbling Vireo (Eastern),0.33,4
Red-eyed Vireo,3.92,47
Northern Shrike,0.33,2
Blue Jay,11.42,280
American Crow,12.72,261
Black-capped Chickadee,18.6,353
Tufted Titmouse,1.14,17
Horned Lark,0.82,10
Bank Swallow,14.52,1058
Tree Swallow,22.51,859
Purple Martin,15.82,1823
Northern Rough-winged Swallow,20.88,1150
Barn Swallow,25.12,1194
Barn Swallow (American),0.33,10
Cliff Swallow,3.43,52
swallow sp.,0.82,56
Ruby-crowned Kinglet,7.99,242
Golden-crowned Kinglet,7.01,335
White-breasted Nuthatch,4.4,40
White-breasted Nuthatch (Eastern),0.16,1
Red-breasted Nuthatch,1.14,7
Brown Creeper,4.24,47
Blue-gray Gnatcatcher,9.95,149
Northern House Wren,7.34,61
Winter Wren,2.12,21
Sedge Wren,0.98,24
Marsh Wren,2.12,32
Marsh Wren (palustris Group),0.16,1
Carolina Wren,0.33,3
wren sp.,0.33,2
European Starling,35.56,15069
Gray Catbird,13.7,184
Brown Thrasher,3.59,41
Northern Mockingbird,0.16,1
Eastern Bluebird,0.82,11
Veery,1.79,15
Gray-cheeked Thrush,0.33,3
Swainson's Thrush,4.4,133
Hermit Thrush,4.73,146
Catharus sp.,0.49,4
Wood Thrush,0.33,2
American Robin,53.34,3115
Cedar Waxwing,9.14,618
House Sparrow,29.69,1815
Eurasian Tree Sparrow,0.16,1
